course_offering_ID,subject_code
87966a7b-f676-33d0-83d2-acdb67da6790,346
87966a7b-f676-33d0-83d2-acdb67da6790,612
87966a7b-f676-33d0-83d2-acdb67da6790,636
87966a7b-f676-33d0-83d2-acdb67da6790,207
87966a7b-f676-33d0-83d2-acdb67da6790,490
87966a7b-f676-33d0-83d2-acdb67da6790,418
87966a7b-f676-33d0-83d2-acdb67da6790,240
ff511882-5eab-3e7b-a89f-8fbfd1906127,220
ff511882-5eab-3e7b-a89f-8fbfd1906127,320
ff511882-5eab-3e7b-a89f-8fbfd1906127,684
ff511882-5eab-3e7b-a89f-8fbfd1906127,346
ff511882-5eab-3e7b-a89f-8fbfd1906127,612
ff511882-5eab-3e7b-a89f-8fbfd1906127,207
ff511882-5eab-3e7b-a89f-8fbfd1906127,636
ff511882-5eab-3e7b-a89f-8fbfd1906127,490
ff511882-5eab-3e7b-a89f-8fbfd1906127,240
b3e26604-fe6e-30df-bc91-b5fa57717a7e,220
b3e26604-fe6e-30df-bc91-b5fa57717a7e,320
b3e26604-fe6e-30df-bc91-b5fa57717a7e,346
b3e26604-fe6e-30df-bc91-b5fa57717a7e,612
b3e26604-fe6e-30df-bc91-b5fa57717a7e,207
b3e26604-fe6e-30df-bc91-b5fa57717a7e,636
b3e26604-fe6e-30df-bc91-b5fa57717a7e,490
b3e26604-fe6e-30df-bc91-b5fa57717a7e,240
e100d196-5e82-32e4-80e9-ac45c07a498c,220
e100d196-5e82-32e4-80e9-ac45c07a498c,320
e100d196-5e82-32e4-80e9-ac45c07a498c,346
e100d196-5e82-32e4-80e9-ac45c07a498c,612
e100d196-5e82-32e4-80e9-ac45c07a498c,207
e100d196-5e82-32e4-80e9-ac45c07a498c,636
e100d196-5e82-32e4-80e9-ac45c07a498c,490
e100d196-5e82-32e4-80e9-ac45c07a498c,418
e100d196-5e82-32e4-80e9-ac45c07a498c,240
76b9c458-d3c2-38c4-951f-69b6900bd7fe,220
76b9c458-d3c2-38c4-951f-69b6900bd7fe,320
76b9c458-d3c2-38c4-951f-69b6900bd7fe,346
76b9c458-d3c2-38c4-951f-69b6900bd7fe,612
76b9c458-d3c2-38c4-951f-69b6900bd7fe,207
76b9c458-d3c2-38c4-951f-69b6900bd7fe,636
76b9c458-d3c2-38c4-951f-69b6900bd7fe,490
76b9c458-d3c2-38c4-951f-69b6900bd7fe,418
76b9c458-d3c2-38c4-951f-69b6900bd7fe,240
2cd95315-cc90-33d6-9670-6d4eaddb7104,220
2cd95315-cc90-33d6-9670-6d4eaddb7104,320
2cd95315-cc90-33d6-9670-6d4eaddb7104,684
2cd95315-cc90-33d6-9670-6d4eaddb7104,346
2cd95315-cc90-33d6-9670-6d4eaddb7104,612
2cd95315-cc90-33d6-9670-6d4eaddb7104,207
2cd95315-cc90-33d6-9670-6d4eaddb7104,636
2cd95315-cc90-33d6-9670-6d4eaddb7104,490
2cd95315-cc90-33d6-9670-6d4eaddb7104,418
2cd95315-cc90-33d6-9670-6d4eaddb7104,240
b729bdbf-c272-3d36-ba1b-b428217b037b,220
b729bdbf-c272-3d36-ba1b-b428217b037b,320
